TenantId,"TimeGenerated [Local Time]",AccountName,Location,Protocol,OperationName,AuthenticationType,StatusCode,StatusText,DurationMs,ServerLatencyMs,Uri,CallerIpAddress,CorrelationId,SchemaVersion,OperationVersion,AuthenticationHash,RequesterObjectId,RequesterTenantId,RequesterAppId,RequesterAudience,RequesterTokenIssuer,RequesterUpn,AuthorizationDetails,UserAgentHeader,ReferrerHeader,ClientRequestId,Etag,ServiceType,OperationCount,ObjectKey,RequestHeaderSize,RequestBodySize,ResponseHeaderSize,ResponseBodySize,RequestMd5,ResponseMd5,"LastModifiedTime [Local Time]",ConditionsUsed,ContentLengthHeader,Category,TlsVersion,SasExpiryStatus,MetricResponseType,SourceUri,DestinationUri,AccessTier,SourceAccessTier,RehydratePriority,SourceSystem,Type,"_ResourceId"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 11:18:41.442 AM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,19,19,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","6e3bcb76-f01f-0052-5146-7b7f57000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"d107c718-8e66-4722-787c-88d8c7b5f06c",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 11:18:41.469 AM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,14,14,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","7e434c69-201f-003d-4346-7bc247000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"b1afb58f-86c8-419b-70fe-2386c61a6ec6",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 11:18:42.049 AM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,4,4,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","6e3bcb96-f01f-0052-6f46-7b7f57000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"c778ffbd-3552-4876-7521-41e444bfd0e5",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 11:18:42.224 AM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,14,13,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","7e434c81-201f-003d-5946-7bc247000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"1ba47b92-17d3-4fc7-5ec4-5902e57809a5",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 11:23:52.453 AM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,14,14,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","203751a6-701f-0014-3a47-7b6534000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"e2d76a9b-9561-4076-6f4b-3c8c9261aeac",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 11:23:52.453 AM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,16,16,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","f7862021-301f-0055-0547-7b679b000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"0f0e6a9e-2c77-46a2-55d3-180f409beda8",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 11:23:52.790 AM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,15,15,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","eb280786-e01f-0058-0547-7b5515000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"48c6ac57-0736-4844-77fb-9619e2005159",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 11:23:52.792 AM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,21,21,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","09c1cf0a-e01f-001d-3847-7bbc16000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"573bc85f-7beb-4cd9-6c7d-3ddb1cf0306d",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 11:24:48.979 AM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,16,16,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","28ba4c0d-901f-0042-1947-7bc07f000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"bdc34521-36e4-4383-7b45-5f65a34cb7e4",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 11:24:49.007 AM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,15,15,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","6f679375-101f-0002-2e47-7b3cdd000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"ed524c86-eabb-4795-4f10-72f30a330df5",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
