TenantId,"TimeGenerated [Local Time]",AccountName,Location,Protocol,OperationName,AuthenticationType,StatusCode,StatusText,DurationMs,ServerLatencyMs,Uri,CallerIpAddress,CorrelationId,SchemaVersion,OperationVersion,AuthenticationHash,RequesterObjectId,RequesterTenantId,RequesterAppId,RequesterAudience,RequesterTokenIssuer,RequesterUpn,AuthorizationDetails,UserAgentHeader,ReferrerHeader,ClientRequestId,Etag,ServiceType,OperationCount,ObjectKey,RequestHeaderSize,RequestBodySize,ResponseHeaderSize,ResponseBodySize,RequestMd5,ResponseMd5,"LastModifiedTime [Local Time]",ConditionsUsed,ContentLengthHeader,Category,TlsVersion,SasExpiryStatus,MetricResponseType,SourceUri,DestinationUri,AccessTier,SourceAccessTier,RehydratePriority,SourceSystem,Type,"_ResourceId"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 1:34:46.531 PM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,17,17,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","f63ed9a5-c01f-004c-3259-7b0191000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"4c49f016-4ae3-4c35-4531-fb55975eb934",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 1:34:46.534 PM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,13,13,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","12387d6d-901f-0020-1759-7b4fe1000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"e1f9959b-91de-4c21-7608-b1b8d3885564",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 1:34:46.580 PM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,14,14,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","fa778e1e-c01f-004a-5859-7be750000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"94a4c743-69dc-4805-793b-12e6418c7dd7",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 1:34:46.584 PM",stmdpseadevin001,southeastasia,HTTPS,CreatePathDir,SAS,409,PathAlreadyExists,15,15,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis?resource=directory&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","208800f3-401f-000a-3259-7b1bf2000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"624f2036-abf2-4046-55d4-f873f1216a47",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis",472,,228,,,,"1/1/1601, 6:42:00.000 AM","If-None-Match=*",,StorageWrite,"TLS 1.2",,ClientOtherError,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 1:34:46.604 PM",stmdpseadevin001,southeastasia,HTTPS,CreatePathFile,SAS,201,Success,42,42,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis/cis_histsegm_20240319.txt?resource=file&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","f63ed9a7-c01f-004c-3459-7b0191000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"86d3de5b-1b5d-4da0-4d76-f8decbdd0d75",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis/cis_histsegm_20240319.txt",606,,199,,,,"3/21/2024, 1:34:46.582 PM",,,StorageWrite,"TLS 1.2",,Success,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 1:34:46.608 PM",stmdpseadevin001,southeastasia,HTTPS,CreatePathFile,SAS,201,Success,41,41,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis/cis_histsegm_20240319.ctl?resource=file&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","12387d6f-901f-0020-1959-7b4fe1000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"a3f1abf2-8ea9-41c5-4002-986a46441ceb",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis/cis_histsegm_20240319.ctl",606,,199,,,,"3/21/2024, 1:34:46.584 PM",,,StorageWrite,"TLS 1.2",,Success,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 1:34:46.641 PM",stmdpseadevin001,southeastasia,HTTPS,CreatePathFile,SAS,201,Success,26,26,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis/cis_org_20240319.ctl?resource=file&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","208800f4-401f-000a-3359-7b1bf2000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"8a085c2c-f884-4534-5b82-294b80bdb643",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis/cis_org_20240319.ctl",601,,199,,,,"3/21/2024, 1:34:46.627 PM",,,StorageWrite,"TLS 1.2",,Success,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 1:34:46.698 PM",stmdpseadevin001,southeastasia,HTTPS,CreatePathFile,SAS,201,Success,85,85,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis/cis_org_20240319.txt?resource=file&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","fa778e22-c01f-004a-5c59-7be750000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"018f29ae-10f3-4eb3-6a20-61169515dd3c",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis/cis_org_20240319.txt",601,,199,,,,"3/21/2024, 1:34:46.687 PM",,,StorageWrite,"TLS 1.2",,Success,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 1:34:46.731 PM",stmdpseadevin001,southeastasia,HTTPS,AppendFile,SAS,202,Success,9,9,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis/cis_org_20240319.ctl?action=append&position=0&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","208800f7-401f-000a-3659-7b1bf2000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"c2527642-2942-4707-78ff-a6dfc4d103e1",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis/cis_org_20240319.ctl",514,118,169,,,,"1/1/1601, 6:42:00.000 AM",,118,StorageWrite,"TLS 1.2",,Success,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
"7aca393a-1a2d-49d5-8289-3195c3c704ba","3/21/2024, 1:34:46.789 PM",stmdpseadevin001,southeastasia,HTTPS,AppendFile,SAS,202,Success,15,15,"https://stmdpseadevin001.dfs.core.windows.net/inbound/source_file/mdp/cis/cis_histsegm_20240319.ctl?action=append&position=0&se=2025-12-08T15%3A35%3A23Z&sig=XXXXX&sp=racwdlme&spr=https&sr=c&st=2023-12-08T07%3A35%3A23Z&sv=2022-11-02&timeout=901","172.30.68.219","60f92da4-501f-0043-1f59-7b3e72000000","1.0","2018-11-09","key2(C7EB2C58AFF162BAB8C642DDC42445616122C84678127329BDAA6E600C2875DC),SasSignature(713EC9C9011617ADF592C8A9895C7714ADDC0794E124933213269819EBA1E377)",,,,,,,,"AzCopy/10.21.2 Azure-Storage/0.1 (go1.19.12; linux)",,"15e43b5d-4d5b-41b8-4067-89410d889778",,blob,,"/stmdpseadevin001/inbound/source_file/mdp/cis/cis_histsegm_20240319.ctl",519,122,169,,,,"1/1/1601, 6:42:00.000 AM",,122,StorageWrite,"TLS 1.2",,Success,,,None,,,Azure,StorageBlobLogs,"/subscriptions/84c51a50-9105-40db-8a5a-0af477d05597/resourcegroups/rg-mdp-sea-dev-dp-001/providers/microsoft.storage/storageaccounts/stmdpseadevin001/blobservices/default"
